"id","instrument_id","open","close","low","high","volume","open_interest","datetime","net_diff","obi_max","obi_min","amom_sum","wall_ask","wall_bid"
"1","ru2609","16680","16740","16680","16745","5706","158382","2026-04-20 09:01:00","200","0","-0.6325","52","[[16700.0, 362], [16750.0, 304]]","[]"
"2","ru2609","16735","16735","16730","16760","3583","158290","2026-04-20 09:02:00","4","0.1612","-0.5284","-48","[]","[]"
"3","ru2609","16730","16725","16705","16740","3043","158263","2026-04-20 09:03:00","-5","0","-0.4039","30","[]","[]"
"4","ru2609","16720","16680","16680","16730","2491","157932","2026-04-20 09:04:00","-726","0.1459","-0.5356","-67","[[16710.0, 607]]","[]"
"5","ru2609","16685","16700","16685","16705","1448","157984","2026-04-20 09:05:00","268","0","-0.5076","-7","[[16710.0, 645]]","[]"
"6","ru2609","16700","16720","16700","16725","1913","158498","2026-04-20 09:06:00","642","0.183","-0.3516","-241","[[16710.0, 616]]","[]"
"7","ru2609","16715","16715","16710","16730","1287","158607","2026-04-20 09:07:00","64","0.1946","-0.1538","7","[]","[]"
"8","ru2609","16715","16710","16700","16715","1045","158834","2026-04-20 09:08:00","-242","0.1778","-0.1185","-75","[]","[]"
"9","ru2609","16710","16700","16700","16720","891","158821","2026-04-20 09:09:00","0","0.1776","-0.1588","-43","[]","[]"
"10","ru2609","16700","16715","16700","16720","1398","158734","2026-04-20 09:10:00","68","0.1605","-0.2987","15","[]","[]"
"11","ru2609","16715","16710","16705","16720","596","158723","2026-04-20 09:11:00","0","0.014","-0.2542","-42","[]","[]"
"12","ru2609","16705","16710","16700","16715","838","158723","2026-04-20 09:12:00","59","0.0931","-0.2701","38","[]","[]"
"13","ru2609","16715","16720","16705","16720","620","158683","2026-04-20 09:13:00","-5","0.0607","-0.2268","0","[]","[]"
"14","ru2609","16715","16720","16715","16725","814","158820","2026-04-20 09:14:00","0","0.15","-0.1526","59","[]","[]"
"15","ru2609","16720","16740","16715","16745","1222","158909","2026-04-20 09:15:00","54","0.0977","-0.3282","58","[]","[]"
"16","ru2609","16745","16750","16745","16755","1612","159061","2026-04-20 09:16:00","130","0","-0.2482","124","[]","[]"
"17","ru2609","16750","16750","16740","16760","1417","159098","2026-04-20 09:17:00","-52","0.0452","-0.2134","96","[]","[]"
"18","ru2609","16750","16740","16730","16755","975","159213","2026-04-20 09:18:00","-209","0.0453","-0.3234","-83","[]","[]"
